V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192
7714,2,1,1,31,1,121657,2,18,2,3,31,1,1,0,6,1,90,1,8,2,3,0,0,0,0,5,5000,0,4,9,9,9,3,80676,3,2,1,1,1,0,2,2,1,0,0,2,0,0,1,1,2,1,2,4,4,5,4,1,12,1,7,1,1,0,9,0,9,0,9,0,6073,-1,6068,6128,-1,6062,6114,52,-1,-1,-1,60,-1,46,-1,11.0,0.0,0.0,0.0,0.0,9221,0,0,23210,123210,109221,120,1,120,30,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,6,6,3,0,0,0,1,3,0,0,0,1,2,1,0,0,0,1,0.0,1,0,0,0,1,3,0,3,0,0,0,4,6068,6068,1,6068,46,11,0,0,2,1,61.2,0,3,3,3,0,9,0,0,0,0,1,0,2,4,14,1,-1,2,2,-0.01,9,2,1,3,-1,999999,1,0,0,-0.01,-1e-04,1,0,0
7714,2,1,2,91,2,122018,1,57,1,2,91,3,1,-1,2,1,-1,2,3,3,3,0,0,0,0,5,50000,0,4,9,9,9,8,81376,8,9,9,9,9,4,9,9,99,-1,-1,9,-1,-1,9,9,9,9,9,9,9,5,4,1,15,99,8,2,1,0,9,0,9,0,9,0,6082,6070,6103,6184,6076,6070,6191,121,0,6,27,81,7,88,121,12.0,0.0,0.0,0.0,0.0,0,9200,9200,9200,109204,109200,-1,-1,480,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,1,4,9,1,0,1,0,0,-1e-04,3,0,112,1,9,2,0,9,0,0,0,4,6070,6070,1,6070,121,11,0,0,2,1,244.8,0,8,4,4,0,9,9,9,9,9,2,0,0,1,14,1,109200,4,5,-0.01,9,1,0,1,-1,999999,0,0,0,-0.01,-1e-04,0,0,0
7714,2,1,3,92,2,112110,1,65,1,2,91,3,1,3900,1,3,0,3,35,9,3,0,0,1,-1,5,100000,0,4,9,9,9,7,81376,8,9,9,9,9,4,9,9,99,-1,-1,9,-1,-1,9,9,9,9,9,9,9,5,4,1,5,99,8,2,6,0,1,2,2,2,2,2,6074,6070,6103,6184,6076,6070,6250,180,0,6,27,81,66,147,180,59.0,480.0,1290.3,60.0,9999.99,0,9200,9200,9200,109200,109200,480,480,480,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,5,0,0,1,0,0,0,8.2687,3,0,3900,2,0,3,9,9,0,0,0,4,6070,6070,1,6070,180,11,0,0,3,1,244.8,0,7,8,8,1,1,9,9,9,9,7,0,0,1,14,1,109200,4,6,480.0,1,1,0,0,-1,61759,0,0,0,14601.6,9.589,0,1,0
7714,2,1,4,138,1,12439,2,37,1,0,138,2,2,587,6,3,0,3,37,2,9,0,0,1,1,7,0,0,4,9,9,9,2,70476,1,2,2,2,2,0,1,2,1,0,0,1,0,0,2,1,3,1,2,4,2,5,4,1,4,99,7,1,4,0,1,2,3,1,1,1,6034,6029,6039,6100,-1,6029,6184,155,0,-1,-1,61,84,145,155,5.0,0.0,9999.99,0.0,9999.99,9200,9230,0,9230,109230,109200,240,48,480,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.375,3,0,587,1,0,3,1,1,0,0,0,4,6029,6029,1,6029,155,11,0,0,2,1,244.8,0,4,5,5,0,0,0,0,0,0,4,1,0,0,14,1,109200,4,3,0.0,0,1,0,0,109230,0,0,0,0,0.0,0.0,0,0,1
7714,2,1,5,431,2,32350,1,26,2,0,431,2,1,-1,4,1,-1,1,26,2,9,6,2,10,9,5,5000,0,4,9,9,9,2,40376,4,2,2,1,1,0,1,2,1,0,0,1,0,0,1,1,1,2,2,4,4,5,4,1,15,99,8,2,1,0,9,0,9,0,9,0,5979,5938,5954,6052,-1,5938,6054,116,0,-1,-1,98,2,100,116,39.0,0.0,0.0,0.0,0.0,9220,9220,0,9230,109230,109220,240,48,480,120,1,1,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,-1e-04,2,0,18,1,9,3,3,4,0,0,0,4,5938,5938,1,5938,116,11,0,0,3,1,244.8,0,8,4,4,0,9,0,0,0,0,1,3,1,0,14,1,-1,4,5,-0.01,9,0,1,0,109230,999999,0,0,0,-0.01,-1e-04,1,0,2
7714,2,1,6,525,1,122547,2,28,2,1,525,3,1,67,2,1,-1,1,16,1,3,1,0,2,0,6,50000,0,3,2,9,9,7,0,8,9,9,9,9,4,9,9,99,-1,-1,9,-1,-1,9,9,9,9,9,9,9,1,1,2,4,99,7,1,6,0,1,2,3,2,1,1,5610,5605,5607,6094,-1,5607,6413,806,-1,-1,-1,487,319,806,808,45.0,180.0,0.0,999.99,9999.99,0,9200,0,9220,109230,109200,240,48,480,480,1,0,2,2,0,0,0,0,5,0,0,0,0,5,0,1,1,0,1,0,0,2,0,1,0,0,2,9,1,0,1,0,0,4.2047,3,0,67,1,9,3,9,9,0,0,0,2,5605,5605,0,5605,808,10,0,0,3,1,244.8,0,4,5,7,1,1,9,9,9,9,1,0,3,1,12,1,109200,4,3,180.0,0,2,0,1,109230,51985,1,0,0,5475.6,8.6082,0,1,0
7714,2,1,7,572,1,21650,2,26,1,0,572,1,1,700,6,2,0,3,1,3,3,0,0,1,0,1,150000,0,2,2,5,1,2,60376,3,2,1,1,1,0,1,2,1,0,0,1,0,0,1,1,3,1,3,4,4,5,2,1,5,99,8,2,6,0,2,2,1,2,1,1,-1,5999,6005,6170,-1,5998,6235,237,1,-1,-1,165,65,230,236,240.0,180.0,9999.99,999.99,480.0,9220,9220,0,9220,109220,109220,480,120,480,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5511,2,1,700,2,0,1,0,3,0,0,0,4,5999,5999,1,5999,236,11,0,2,3,1,244.8,0,7,8,8,1,1,0,0,0,0,5,0,0,0,14,1,-1,4,6,180.0,1,1,0,0,-1,51985,0,0,0,5475.6,8.6082,0,1,0
7714,2,1,8,602,1,32951,2,24,1,0,602,3,1,960,4,3,0,2,0,9,3,0,0,0,0,4,20000,0,4,9,9,9,7,122375,2,2,1,1,1,0,1,2,1,0,0,1,0,0,1,1,3,1,2,4,4,5,4,1,5,99,8,2,6,0,1,2,1,2,1,1,5841,5836,5857,5934,-1,5835,6086,251,1,-1,-1,77,152,229,250,6.0,9.0,9999.99,999.99,9999.99,9200,9230,0,9230,109230,109200,240,48,480,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.8669,2,0,960,2,0,0,0,2,0,0,0,3,5836,5836,1,5836,250,11,0,0,2,1,244.8,0,7,6,8,1,1,0,0,0,0,6,0,0,0,13,1,109200,4,6,9.0,1,1,0,0,109230,23026,0,0,0,273.78,5.616,0,1,0
7714,2,1,9,654,1,80936,2,39,1,0,654,3,1,-1,6,3,0,1,6,9,9,0,0,1,-1,5,35000,0,4,9,9,9,2,112375,4,2,2,1,2,0,1,1,1,0,0,1,0,0,1,1,3,1,3,4,4,5,4,1,5,99,8,2,6,0,1,2,2,2,0,2,5843,5808,5816,6009,-1,5807,6061,254,1,-1,-1,193,52,245,253,24.0,480.0,9999.99,120.0,9999.99,9200,9200,0,9200,109200,109200,480,480,480,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1e-04,3,0,279,1,0,2,9,4,1,0,0,3,5808,5808,1,5808,253,11,0,0,2,1,244.8,0,7,8,8,1,1,0,0,0,0,3,0,0,0,13,1,109200,4,6,480.0,1,1,0,0,-1,61759,0,0,0,14601.6,9.589,0,1,0
7714,2,1,10,708,2,111451,3,24,3,0,708,3,1,670,4,3,0,1,0,3,3,0,0,0,0,1,50000,0,1,4,3,1,7,122175,8,9,9,9,9,4,9,9,99,-1,-1,9,-1,-1,9,9,9,9,9,9,9,5,2,1,4,99,7,1,6,0,1,2,1,2,1,1,-1,5839,5863,5953,5845,5838,6051,213,1,6,18,90,98,188,212,210.0,36.0,9999.99,999.99,9999.99,0,9200,9200,9200,109230,109200,240,48,480,480,1,1,1,2,0,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.5073,2,0,670,2,0,0,0,9,0,0,0,3,5839,5839,1,5839,212,11,0,0,3,1,244.8,0,4,5,7,1,1,9,9,9,9,5,0,2,0,13,1,109200,4,3,36.0,0,2,2,0,109230,36109,1,0,0,1095.12,6.9995,1,1,0
